timestamp,pct_counted,candidate,projected_votes,votes_counted
2026-06-07 20:42,0.380619,KEIKO SOFIA FUJIMORI HIGUCHI,9659586,3831134
2026-06-07 20:42,0.380619,ROBERTO HELBERT SANCHEZ PALOMINO,9182491,3351890
2026-06-07 20:42,0.380619,VOTOS EN BLANCO,1064619,407765
2026-06-07 20:42,0.380619,VOTOS NULOS,118079,40074
2026-06-07 21:02,0.444646,KEIKO SOFIA FUJIMORI HIGUCHI,9732549,4489576
2026-06-07 21:02,0.444646,ROBERTO HELBERT SANCHEZ PALOMINO,9326636,3997833
2026-06-07 21:02,0.444646,VOTOS EN BLANCO,926963,423589
2026-06-07 21:02,0.444646,VOTOS NULOS,120214,47510
2026-06-07 21:22,0.501655,KEIKO SOFIA FUJIMORI HIGUCHI,9750982,5067571
2026-06-07 21:22,0.501655,ROBERTO HELBERT SANCHEZ PALOMINO,9373782,4516954
2026-06-07 21:22,0.501655,VOTOS EN BLANCO,950752,506333
2026-06-07 21:22,0.501655,VOTOS NULOS,120245,53855
2026-06-07 21:36,0.547171,KEIKO SOFIA FUJIMORI HIGUCHI,9634924,5469888
2026-06-07 21:36,0.547171,ROBERTO HELBERT SANCHEZ PALOMINO,9262198,4872765
2026-06-07 21:36,0.547171,VOTOS EN BLANCO,1176692,650199
2026-06-07 21:36,0.547171,VOTOS NULOS,120266,58627
2026-06-07 21:56,0.582438,KEIKO SOFIA FUJIMORI HIGUCHI,9678686,5830567
2026-06-07 21:56,0.582438,ROBERTO HELBERT SANCHEZ PALOMINO,9304822,5218392
2026-06-07 21:56,0.582438,VOTOS EN BLANCO,1049947,630949
2026-06-07 21:56,0.582438,VOTOS NULOS,121328,62759
2026-06-07 22:18,0.614299,KEIKO SOFIA FUJIMORI HIGUCHI,9546624,6116583
2026-06-07 22:18,0.614299,ROBERTO HELBERT SANCHEZ PALOMINO,9328057,5470496
2026-06-07 22:18,0.614299,VOTOS EN BLANCO,1153298,725320
2026-06-07 22:18,0.614299,VOTOS NULOS,121436,66239
2026-06-07 22:32,0.64614,KEIKO SOFIA FUJIMORI HIGUCHI,9570420,6453085
2026-06-07 22:32,0.64614,ROBERTO HELBERT SANCHEZ PALOMINO,9350333,5771981
2026-06-07 22:32,0.64614,VOTOS EN BLANCO,1054079,698596
2026-06-07 22:32,0.64614,VOTOS NULOS,126373,70259
2026-06-07 22:52,0.678317,KEIKO SOFIA FUJIMORI HIGUCHI,9455673,6723549
2026-06-07 22:52,0.678317,ROBERTO HELBERT SANCHEZ PALOMINO,9326017,6015902
2026-06-07 22:52,0.678317,VOTOS EN BLANCO,1169920,805743
2026-06-07 22:52,0.678317,VOTOS NULOS,125230,73619
2026-06-07 23:06,0.702747,KEIKO SOFIA FUJIMORI HIGUCHI,9422655,6955390
2026-06-07 23:06,0.702747,ROBERTO HELBERT SANCHEZ PALOMINO,9323586,6224009
2026-06-07 23:06,0.702747,VOTOS EN BLANCO,1099885,779258
2026-06-07 23:06,0.702747,VOTOS NULOS,125454,76375
2026-06-08 06:06,0.950371,ROBERTO HELBERT SANCHEZ PALOMINO,9146131,8638720
2026-06-08 06:06,0.950371,KEIKO SOFIA FUJIMORI HIGUCHI,9113346,8716918
2026-06-08 06:06,0.950371,VOTOS EN BLANCO,1162576,1105307
2026-06-08 06:06,0.950371,VOTOS NULOS,118287,110045
2026-06-08 06:28,0.951197,ROBERTO HELBERT SANCHEZ PALOMINO,9143250,8647616
2026-06-08 06:28,0.951197,KEIKO SOFIA FUJIMORI HIGUCHI,9113394,8720433
2026-06-08 06:28,0.951197,VOTOS EN BLANCO,1163518,1106595
2026-06-08 06:28,0.951197,VOTOS NULOS,118188,110175
2026-06-08 06:46,0.952614,ROBERTO HELBERT SANCHEZ PALOMINO,9133075,8665322
2026-06-08 06:46,0.952614,KEIKO SOFIA FUJIMORI HIGUCHI,9123878,8727484
2026-06-08 06:46,0.952614,VOTOS EN BLANCO,1163132,1108287
2026-06-08 06:46,0.952614,VOTOS NULOS,117313,110503
2026-06-08 07:02,0.953147,ROBERTO HELBERT SANCHEZ PALOMINO,9140365,8673370
2026-06-08 07:02,0.953147,KEIKO SOFIA FUJIMORI HIGUCHI,9119649,8730026
2026-06-08 07:02,0.953147,VOTOS EN BLANCO,1161273,1108847
2026-06-08 07:02,0.953147,VOTOS NULOS,117024,110633
2026-06-08 07:22,0.954246,ROBERTO HELBERT SANCHEZ PALOMINO,9138993,8685314
2026-06-08 07:22,0.954246,KEIKO SOFIA FUJIMORI HIGUCHI,9118961,8736527
2026-06-08 07:22,0.954246,VOTOS EN BLANCO,1161437,1110020
2026-06-08 07:22,0.954246,VOTOS NULOS,117148,110815
2026-06-08 07:42,0.955229,ROBERTO HELBERT SANCHEZ PALOMINO,9137193,8696687
2026-06-08 07:42,0.955229,KEIKO SOFIA FUJIMORI HIGUCHI,9118531,8740668
2026-06-08 07:42,0.955229,VOTOS EN BLANCO,1160953,1110878
2026-06-08 07:42,0.955229,VOTOS NULOS,117084,111003
2026-06-08 07:58,0.955704,ROBERTO HELBERT SANCHEZ PALOMINO,9137586,8703210
2026-06-08 07:58,0.955704,KEIKO SOFIA FUJIMORI HIGUCHI,9118237,8742861
2026-06-08 07:58,0.955704,VOTOS EN BLANCO,1160797,1111285
2026-06-08 07:58,0.955704,VOTOS NULOS,117086,111081
2026-06-08 08:18,0.956895,ROBERTO HELBERT SANCHEZ PALOMINO,9136528,8716644
2026-06-08 08:18,0.956895,KEIKO SOFIA FUJIMORI HIGUCHI,9117203,8748922
2026-06-08 08:18,0.956895,VOTOS EN BLANCO,1160212,1112269
2026-06-08 08:18,0.956895,VOTOS NULOS,117021,111262
2026-06-08 08:32,0.957519,ROBERTO HELBERT SANCHEZ PALOMINO,9135229,8723339
2026-06-08 08:32,0.957519,KEIKO SOFIA FUJIMORI HIGUCHI,9116704,8752041
2026-06-08 08:32,0.957519,VOTOS EN BLANCO,1160025,1112667
2026-06-08 08:32,0.957519,VOTOS NULOS,117014,111357
2026-06-08 08:52,0.957927,ROBERTO HELBERT SANCHEZ PALOMINO,9133403,8727264
2026-06-08 08:52,0.957927,KEIKO SOFIA FUJIMORI HIGUCHI,9117706,8754581
2026-06-08 08:52,0.957927,VOTOS EN BLANCO,1160006,1113261
2026-06-08 08:52,0.957927,VOTOS NULOS,117035,111444
2026-06-08 09:06,0.958738,ROBERTO HELBERT SANCHEZ PALOMINO,9132221,8730172
2026-06-08 09:06,0.958738,KEIKO SOFIA FUJIMORI HIGUCHI,9108138,8755673
2026-06-08 09:06,0.958738,VOTOS EN BLANCO,1158617,1113442
2026-06-08 09:06,0.958738,VOTOS NULOS,117080,111488
2026-06-08 09:26,0.959299,ROBERTO HELBERT SANCHEZ PALOMINO,9130550,8733955
2026-06-08 09:26,0.959299,KEIKO SOFIA FUJIMORI HIGUCHI,9103992,8757180
2026-06-08 09:26,0.959299,VOTOS EN BLANCO,1158906,1113789
2026-06-08 09:26,0.959299,VOTOS NULOS,117126,111545
2026-06-08 09:42,0.959195,ROBERTO HELBERT SANCHEZ PALOMINO,9127082,8736589
2026-06-08 09:42,0.959195,KEIKO SOFIA FUJIMORI HIGUCHI,9111588,8759626
2026-06-08 09:42,0.959195,VOTOS EN BLANCO,1163030,1114627
2026-06-08 09:42,0.959195,VOTOS NULOS,117242,111629
2026-06-08 10:02,0.960579,ROBERTO HELBERT SANCHEZ PALOMINO,9122040,8742572
2026-06-08 10:02,0.960579,KEIKO SOFIA FUJIMORI HIGUCHI,9102431,8763765
2026-06-08 10:02,0.960579,VOTOS EN BLANCO,1160489,1115167
2026-06-08 10:02,0.960579,VOTOS NULOS,117061,111749
2026-06-08 10:16,0.960981,ROBERTO HELBERT SANCHEZ PALOMINO,9124112,8749161
2026-06-08 10:16,0.960981,KEIKO SOFIA FUJIMORI HIGUCHI,9102280,8764872
2026-06-08 10:16,0.960981,VOTOS EN BLANCO,1158460,1115208
2026-06-08 10:16,0.960981,VOTOS NULOS,117218,111873
2026-06-08 10:46,0.962159,ROBERTO HELBERT SANCHEZ PALOMINO,9123923,8760974
2026-06-08 10:46,0.962159,KEIKO SOFIA FUJIMORI HIGUCHI,9099000,8770512
2026-06-08 10:46,0.962159,VOTOS EN BLANCO,1157292,1115992
2026-06-08 10:46,0.962159,VOTOS NULOS,116999,111991
2026-06-08 11:08,0.962673,ROBERTO HELBERT SANCHEZ PALOMINO,9120386,8764313
2026-06-08 11:08,0.962673,KEIKO SOFIA FUJIMORI HIGUCHI,9097589,8771551
2026-06-08 11:08,0.962673,VOTOS EN BLANCO,1157446,1116904
2026-06-08 11:08,0.962673,VOTOS NULOS,116981,112045
2026-06-08 11:12,0.962913,ROBERTO HELBERT SANCHEZ PALOMINO,9118654,8765384
2026-06-08 11:12,0.962913,KEIKO SOFIA FUJIMORI HIGUCHI,9096874,8772373
2026-06-08 11:12,0.962913,VOTOS EN BLANCO,1157274,1117148
2026-06-08 11:12,0.962913,VOTOS NULOS,116998,112079
2026-06-08 11:22,0.946665,KEIKO SOFIA FUJIMORI HIGUCHI,9273213,8775917
2026-06-08 11:22,0.946665,ROBERTO HELBERT SANCHEZ PALOMINO,9252411,8769474
2026-06-08 11:22,0.946665,VOTOS EN BLANCO,1186872,1117759
2026-06-08 11:22,0.946665,VOTOS NULOS,120637,112173
2026-06-08 11:48,0.947012,KEIKO SOFIA FUJIMORI HIGUCHI,9272553,8777822
2026-06-08 11:48,0.947012,ROBERTO HELBERT SANCHEZ PALOMINO,9249970,8771594
2026-06-08 11:48,0.947012,VOTOS EN BLANCO,1187290,1118044
2026-06-08 11:48,0.947012,VOTOS NULOS,120648,112220
2026-06-08 11:56,0.947381,KEIKO SOFIA FUJIMORI HIGUCHI,9271500,8779917
2026-06-08 11:56,0.947381,ROBERTO HELBERT SANCHEZ PALOMINO,9248686,8774253
2026-06-08 11:56,0.947381,VOTOS EN BLANCO,1187196,1118288
2026-06-08 11:56,0.947381,VOTOS NULOS,120678,112273
2026-06-08 12:06,0.94778,KEIKO SOFIA FUJIMORI HIGUCHI,9269898,8781196
2026-06-08 12:06,0.94778,ROBERTO HELBERT SANCHEZ PALOMINO,9247147,8777432
2026-06-08 12:06,0.94778,VOTOS EN BLANCO,1186973,1118455
2026-06-08 12:06,0.94778,VOTOS NULOS,120608,112305
2026-06-08 12:16,0.947799,KEIKO SOFIA FUJIMORI HIGUCHI,9269882,8781246
2026-06-08 12:16,0.947799,ROBERTO HELBERT SANCHEZ PALOMINO,9247453,8777982
2026-06-08 12:16,0.947799,VOTOS EN BLANCO,1186978,1118484
2026-06-08 12:16,0.947799,VOTOS NULOS,120612,112311
2026-06-08 12:26,0.947988,KEIKO SOFIA FUJIMORI HIGUCHI,9269865,8781831
2026-06-08 12:26,0.947988,ROBERTO HELBERT SANCHEZ PALOMINO,9246288,8779774
2026-06-08 12:26,0.947988,VOTOS EN BLANCO,1186878,1118596
2026-06-08 12:26,0.947988,VOTOS NULOS,120571,112324
2026-06-08 12:36,0.948395,KEIKO SOFIA FUJIMORI HIGUCHI,9268424,8784039
2026-06-08 12:36,0.948395,ROBERTO HELBERT SANCHEZ PALOMINO,9244219,8781827
2026-06-08 12:36,0.948395,VOTOS EN BLANCO,1186574,1118771
2026-06-08 12:36,0.948395,VOTOS NULOS,120578,112359
2026-06-08 12:46,0.948856,ROBERTO HELBERT SANCHEZ PALOMINO,9263796,8784460
2026-06-08 12:46,0.948856,KEIKO SOFIA FUJIMORI HIGUCHI,9245765,8785128
2026-06-08 12:46,0.948856,VOTOS EN BLANCO,1184173,1118946
2026-06-08 12:46,0.948856,VOTOS NULOS,120573,112397
2026-06-08 12:58,0.949778,KEIKO SOFIA FUJIMORI HIGUCHI,9259565,8787618
2026-06-08 12:58,0.949778,ROBERTO HELBERT SANCHEZ PALOMINO,9242030,8790560
2026-06-08 12:58,0.949778,VOTOS EN BLANCO,1182563,1119361
2026-06-08 12:58,0.949778,VOTOS NULOS,120484,112481
2026-06-08 13:08,0.950098,KEIKO SOFIA FUJIMORI HIGUCHI,9256241,8788594
2026-06-08 13:08,0.950098,ROBERTO HELBERT SANCHEZ PALOMINO,9243184,8792979
2026-06-08 13:08,0.950098,VOTOS EN BLANCO,1181990,1119547
2026-06-08 13:08,0.950098,VOTOS NULOS,120358,112503
2026-06-08 13:12,0.950933,KEIKO SOFIA FUJIMORI HIGUCHI,9252478,8791475
2026-06-08 13:12,0.950933,ROBERTO HELBERT SANCHEZ PALOMINO,9240032,8799126
2026-06-08 13:12,0.950933,VOTOS EN BLANCO,1181594,1120090
2026-06-08 13:12,0.950933,VOTOS NULOS,120474,112628
2026-06-08 13:22,0.951074,KEIKO SOFIA FUJIMORI HIGUCHI,9253095,8792383
2026-06-08 13:22,0.951074,ROBERTO HELBERT SANCHEZ PALOMINO,9239714,8801180
2026-06-08 13:22,0.951074,VOTOS EN BLANCO,1181715,1120255
2026-06-08 13:22,0.951074,VOTOS NULOS,120426,112646
2026-06-08 13:32,0.951594,KEIKO SOFIA FUJIMORI HIGUCHI,9248537,8794108
2026-06-08 13:32,0.951594,ROBERTO HELBERT SANCHEZ PALOMINO,9239929,8804904
2026-06-08 13:32,0.951594,VOTOS EN BLANCO,1181385,1120543
2026-06-08 13:32,0.951594,VOTOS NULOS,120364,112701
2026-06-08 13:42,0.951388,KEIKO SOFIA FUJIMORI HIGUCHI,9252571,8793961
2026-06-08 13:42,0.951388,ROBERTO HELBERT SANCHEZ PALOMINO,9239893,8805003
2026-06-08 13:42,0.951388,VOTOS EN BLANCO,1181503,1120389
2026-06-08 13:42,0.951388,VOTOS NULOS,120317,112693
2026-06-08 14:02,0.953076,KEIKO SOFIA FUJIMORI HIGUCHI,9246160,8802239
2026-06-08 14:02,0.953076,ROBERTO HELBERT SANCHEZ PALOMINO,9237253,8817605
2026-06-08 14:02,0.953076,VOTOS EN BLANCO,1178465,1121679
2026-06-08 14:02,0.953076,VOTOS NULOS,120865,112915
2026-06-08 14:22,0.953455,KEIKO SOFIA FUJIMORI HIGUCHI,9245347,8805057
2026-06-08 14:22,0.953455,ROBERTO HELBERT SANCHEZ PALOMINO,9235123,8818698
2026-06-08 14:22,0.953455,VOTOS EN BLANCO,1177747,1121720
2026-06-08 14:22,0.953455,VOTOS NULOS,120792,112949
